Model,GHS_Column,Pictogram_Code,Actual_Meaning,Threshold_Type,Threshold_Value,N_Test,N_Test_Positive,AUC_ROC,Average_Precision,F1,MCC,Precision,Recall,Specificity,TN,FP,FN,TP,AUC_bootstrap_mean,AUC_CI95_lower,AUC_CI95_upper
SVM,GHS02_Flammable,GHS02,Flammable (flame),default_0.5,0.5,24352,1063,0.934,0.5797,0.5254,0.5236,0.6801,0.428,0.9908,23075,214,608,455,0.9339,0.9254,0.9418
SVM,GHS02_Flammable,GHS02,Flammable (flame),calibrated_F1,0.230508,24352,1063,0.934,0.5797,0.5528,0.5398,0.4626,0.6867,0.9636,22441,848,333,730,0.9339,0.9254,0.9418
SVM,GHS02_Flammable,GHS02,Flammable (flame),safety_recall90,0.024989,24352,1063,0.934,0.5797,0.3226,0.3696,0.1976,0.8777,0.8373,19501,3788,130,933,0.9339,0.9254,0.9418
SVM,GHS03_Oxidising,GHS03,Oxidiser (flame over circle),default_0.5,0.5,24352,41,0.9295,0.3229,0.2646,0.319,0.1689,0.6098,0.9949,24188,123,16,25,0.9316,0.8628,0.9844
SVM,GHS03_Oxidising,GHS03,Oxidiser (flame over circle),calibrated_F1,0.808422,24352,41,0.9295,0.3229,0.3621,0.3773,0.28,0.5122,0.9978,24257,54,20,21,0.9316,0.8628,0.9844
SVM,GHS03_Oxidising,GHS03,Oxidiser (flame over circle),safety_recall90,0.02138,24352,41,0.9295,0.3229,0.0826,0.1857,0.0435,0.8293,0.9692,23563,748,7,34,0.9316,0.8628,0.9844
SVM,GHS04_CompressedGas,GHS04,Compressed gas (gas cylinder),default_0.5,0.5,24352,28,0.9908,0.5309,0.3898,0.4572,0.2556,0.8214,0.9972,24257,67,5,23,0.991,0.9725,0.9993
SVM,GHS04_CompressedGas,GHS04,Compressed gas (gas cylinder),calibrated_F1,0.875264,24352,28,0.9908,0.5309,0.5763,0.5765,0.5484,0.6071,0.9994,24310,14,11,17,0.991,0.9725,0.9993
SVM,GHS04_CompressedGas,GHS04,Compressed gas (gas cylinder),safety_recall90,0.316053,24352,28,0.9908,0.5309,0.3268,0.4215,0.2,0.8929,0.9959,24224,100,3,25,0.991,0.9725,0.9993
SVM,GHS05_Corrosive,GHS05,Corrosive (corrosion),default_0.5,0.5,24352,4333,0.8551,0.6395,0.5762,0.5158,0.7041,0.4877,0.9556,19131,888,2220,2113,0.855,0.8486,0.8619
