Feature,GHS01_Explosive,GHS02_Flammable,GHS03_Oxidising,GHS04_CompressedGas,GHS05_Corrosive,GHS06_AcuteToxicity,GHS07_Irritant,GHS08_HealthHazard,GHS09_Environmental,Mean_across_all_classes
MACCS_133,0.001829305,0.002997105,0.118781224,0.0,0.005017438,0.0015026337,0.0015940885,0.010973687,0.0072875824,0.016664784
MACCS_90,0.04577287,0.0102178985,0.013546325,0.0007209415,0.002124525,0.0021381944,0.0040240726,0.021613732,0.046473578,0.01629246
Morgan_607,0.00091089617,0.01630863,0.004904699,0.012169184,0.044959925,0.0005052318,0.031042596,0.033260666,0.0012659042,0.016147526
MACCS_95,0.0076644314,0.0076593305,0.10260524,0.0,0.017598199,0.0021817696,0.002931727,0.0026904058,0.0014043414,0.016081715
MACCS_101,0.0,0.00586827,0.10133721,0.0,0.028791908,0.0012366557,0.0017370435,0.0013288956,0.0027157206,0.015890636
MACCS_159,0.0005158402,0.002514251,0.09252509,0.000676266,0.039189365,0.0020709487,0.0013144234,0.0006484371,0.0029862034,0.015826758
MACCS_135,7.1607516e-05,0.017378982,0.016785478,0.0,0.029241614,0.0058523603,0.002128627,0.040549934,0.026927799,0.015437378
MACCS_126,0.00050680863,0.06920095,0.05167256,0.004914708,0.0010275157,0.0005540284,0.0004957252,0.0058913487,0.0022072494,0.015163432
Morgan_981,0.00037928828,0.0057087145,0.001193334,0.012034087,0.048154317,0.0011156708,0.030726103,0.03045227,0.005866282,0.015070008
MACCS_62,0.015719214,0.01186936,0.019886436,0.0,0.0004168311,0.0014018685,0.013001616,0.055615243,0.013553755,0.014607146
MACCS_92,0.0026955616,0.022552546,0.04470701,0.0,0.009774802,0.0009381725,0.014116561,0.001869616,0.031559117,0.014245932
MACCS_82,0.0,0.0047811135,0.012482343,0.00022140381,0.029881129,0.022590682,0.01116817,0.029902905,0.012272838,0.013700064
Morgan_674,0.0062949057,0.0019082696,0.045365375,0.0035621505,0.0028431288,0.009887643,0.011437114,0.010388833,0.02978491,0.013496926
MACCS_136,0.0004433067,0.0190679,0.07200018,0.010422786,0.010147833,0.002506314,0.00067451806,0.0032375648,0.0025664903,0.013451878
MACCS_100,0.00010672126,0.010284695,0.010212587,0.00523203,0.079445,0.0019034513,0.007340059,0.0026900163,0.003015135,0.013358856
MACCS_127,0.0007423644,0.005503631,0.028142154,0.0,0.002440731,0.014327809,0.026748614,0.016989892,0.024778571,0.013297086
MACCS_145,0.0068235546,0.0055737025,0.0018683344,0.0,0.0016156904,0.018393423,0.013521595,0.003190365,0.06691414,0.0131000895
Morgan_1,0.00037950897,0.0036865764,0.032135755,0.062064894,0.0039956155,0.0042200815,0.003265892,0.0058638765,0.0011631243,0.012975036
Morgan_915,0.0,0.003895484,0.0,0.0013737013,0.0044694752,0.002201414,0.03048965,0.025936838,0.04710902,0.01283062
MACCS_152,0.0,0.018155877,0.009493063,0.014312238,0.02498283,0.0018921146,0.012418826,0.021288842,0.0097539695,0.012477529
MACCS_89,0.0014743324,0.005894814,0.022805393,0.0,0.0012749771,0.021105684,0.027779095,0.024169814,0.005903183,0.012267477
MACCS_111,0.029670065,0.004531008,0.05362057,0.0,0.0057327813,0.0006805572,0.0055570863,0.003621714,0.0056058425,0.012113292
MACCS_150,0.0010331222,0.017026087,0.05371585,0.0,0.00105464,0.0006421964,0.0069246236,0.0040413653,0.024159666,0.012066394
Morgan_875,0.0002165872,0.021632101,0.073064744,0.0,0.000623899,0.0046971007,0.0019563898,0.0046190517,0.0016942475,0.012056013
MACCS_141,0.0,0.067910895,0.007613136,0.0017677792,0.01063587,0.0009412969,0.011437694,0.0017672229,0.006427314,0.01205569
MACCS_11,0.0,0.00027518332,0.0,0.0,0.0004995923,0.011731462,0.019888213,0.024805894,0.049683914,0.011876028
MACCS_147,0.001638572,0.026496349,0.071660966,0.0011035015,0.0018461104,0.00038108564,0.00017451782,0.0016068702,0.0016369655,0.011838325
Morgan_1019,0.0,0.0022344084,0.0039356714,0.08939721,0.00030731582,0.0024898397,0.001868828,0.003748888,0.0025620179,0.0118382415
MACCS_52,0.0013408108,0.027385144,0.002468162,0.011605156,0.043642752,0.0038991992,0.0043084146,0.0098875705,0.0012799476,0.011757462
MACCS_163,0.0,0.013544335,0.034786507,0.023927607,0.0012308756,0.0021959275,0.008770752,0.013785923,0.00557923,0.011535684
MACCS_138,2.0284864e-05,0.007780459,0.05930802,0.009111137,0.010738397,0.0015760656,0.00030763805,0.0016096877,0.013362346,0.011534893
Morgan_429,0.00015880103,0.053168733,0.016258368,0.027723188,0.00067886396,0.0033645534,0.0007687833,0.0010286501,0.0006301985,0.011531127
MACCS_98,0.006795681,0.044770908,0.0060706805,0.0,0.0066416343,0.0043036807,0.0025954628,0.0123168705,0.0202416,0.01152628
MACCS_110,0.00086979696,0.0054515526,0.029067827,0.040328622,0.005476525,0.0011408547,0.005973354,0.008196202,0.0071792244,0.011520441
NumSaturatedRings,0.0,0.0077462746,0.06748054,0.0,0.002188803,0.0015169343,0.0028160086,0.0073876297,0.013241294,0.0113752745
MACCS_48,0.0010241257,0.002286672,0.035707865,0.0,0.01776219,0.008268813,0.01594588,0.01321557,0.007116232,0.011258594
MACCS_105,5.9792495e-05,0.024395052,0.036056932,0.0,0.010035673,0.012627999,0.005923097,0.0041249166,0.006221833,0.011049476
MACCS_115,0.0,0.0020722775,0.038980156,0.0005145913,0.0010358986,0.0016277736,0.007874302,0.031784747,0.012132085,0.010669094
MACCS_24,0.015288984,0.004306991,0.06023955,0.0,9.502185e-05,0.00022297188,0.00019076126,0.004578023,0.007696128,0.010290938
Morgan_841,0.0038553153,0.0027489907,0.03444249,0.0072345696,0.0153226275,0.0016272417,0.0067705507,0.011923249,0.007984263,0.010212145
MACCS_113,0.001936346,0.0012753655,0.020984298,0.0,0.017255856,0.0073630293,0.0014843936,0.0014138306,0.039497122,0.010134471
MACCS_27,0.012685498,0.012533518,0.015407218,0.007072045,0.0007719683,0.0029732357,0.018468041,0.0073001347,0.013732543,0.010104912
Morgan_85,0.00047296524,0.011956662,0.0007899334,0.0029423456,0.0651384,0.00033352216,0.002142145,0.0061005806,0.0006278322,0.010056043
Morgan_433,0.0021158517,0.007336964,0.006856239,0.0018716127,0.039717685,0.0003416634,0.016719192,0.010966123,0.0026124872,0.009837534
Morgan_135,0.0,0.04987128,0.0,0.0,0.019353585,0.00011513151,0.014467755,0.0024803702,0.0011310059,0.009713236
Morgan_550,0.0,0.014828654,0.00483827,0.0014843887,0.0017508771,0.000649164,0.02611511,0.03096974,0.006079165,0.0096350415
NumAliphaticRings,0.0014522797,0.013166939,0.011760889,0.002552375,0.019184403,0.0066000037,0.0068312213,0.012315931,0.011546501,0.009490061
Morgan_561,8.9121706e-05,0.0018340246,0.012211715,0.0022972554,0.015789045,0.003909093,0.002456163,0.0032832914,0.04323502,0.00945608
MACCS_66,0.0,0.005585221,0.013872556,0.012525186,0.0006594094,0.024092468,0.024153516,0.0026213806,0.0013759919,0.009431748
MACCS_86,0.0002476999,0.013348586,0.018445356,0.0028047825,0.035793457,0.0019112596,0.0026950575,0.0026527136,0.0068708747,0.009418865
MACCS_109,0.0006977086,0.002266724,0.01825272,9.909057e-05,0.03945108,0.008383443,0.00843516,0.0021618532,0.004696886,0.009382741
Morgan_456,0.0018978895,0.01312416,0.031398673,0.0,0.004621792,0.0028719231,0.01723417,0.007469294,0.004894626,0.009279171
Morgan_175,3.534121e-05,0.028566897,0.017503709,0.0,0.004609795,0.0013062577,0.0071499064,0.007975457,0.016289238,0.009270732
MACCS_63,0.00059381634,0.0012094611,0.009395784,0.06703192,0.0005924256,0.000102547536,0.0003058017,0.002886173,0.000101335645,0.0091354735
MACCS_162,0.0007857291,0.007533962,0.0,0.06465003,0.0069565354,2.8510702e-05,0.00078981294,0.00023442919,0.0009929601,0.009107997
MACCS_122,0.00079347286,0.01198741,0.05235425,0.007372077,0.0005902941,0.0008411271,0.0025107807,0.002229762,0.0026316026,0.009034531
